AC00	1100 1161
AFC9	1101 116E 11B8
AFCA	1101 116E 11B9
AFCB	1101 116E 11BA
AFCC	1101 116E 11BB
AFCD	1101 116E 11BC
AFCE	1101 116E 11BD
AFCF	1101 116E 11BE
AFD0	1101 116E 11BF
AFD1	1101 116E 11C0
AFD2	1101 116E 11C1
AFD3	1101 116E 11C2
AFD4	1101 116F
AFD5	1101 116F 11A8
AFD6	1101 116F 11A9
AFD7	1101 116F 11AA
AFD8	1101 116F 11AB
AFD9	1101 116F 11AC
AFDA	1101 116F 11AD
AFDB	1101 116F 11AE
AFDC	1101 116F 11AF
AFDD	1101 116F 11B0
AFDE	1101 116F 11B1
AFDF	1101 116F 11B2
AFE0	1101 116F 11B3
AFE1	1101 116F 11B4
AFE2	1101 116F 11B5
AFE3	1101 116F 11B6
AFE4	1101 116F 11B7
AFE5	1101 116F 11B8
AFE6	1101 116F 11B9
AFE7	1101 116F 11BA
AFE8	1101 116F 11BB
AFE9	1101 116F 11BC
AFEA	1101 116F 11BD
AFEB	1101 116F 11BE
AFEC	1101 116F 11BF
AFED	1101 116F 11C0
AFEE	1101 116F 11C1
AFEF	1101 116F 11C2
AFF0	1101 1170
AFF1	1101 1170 11A8
AFF2	1101 1170 11A9
AFF3	1101 1170 11AA
AFF4	1101 1170 11AB
AFF5	1101 1170 11AC
AFF6	1101 1170 11AD
AFF7	1101 1170 11AE
AFF8	1101 1170 11AF
AFF9	1101 1170 11B0
AFFA	1101 1170 11B1
AFFB	1101 1170 11B2
AFFC	1101 1170 11B3
AFFD	1101 1170 11B4
AFFE	1101 1170 11B5
AFFF	1101 1170 11B6
B000	1101 1170 11B7
B001	1101 1170 11B8
B002	1101 1170 11B9
B003	1101 1170 11BA
B004	1101 1170 11BB
B005	1101 1170 11BC
B006	1101 1170 11BD
B007	1101 1170 11BE
B008	1101 1170 11BF
B009	1101 1170 11C0
B00A	1101 1170 11C1
B00B	1101 1170 11C2
B00C	1101 1171
B00D	1101 1171 11A8
B00E	1101 1171 11A9
B00F	1101 1171 11AA
B010	1101 1171 11AB
B011	1101 1171 11AC
B012	1101 1171 11AD
B013	1101 1171 11AE
B014	1101 1171 11AF
B015	1101 1171 11B0
B016	1101 1171 11B1
B017	1101 1171 11B2
B018	1101 1171 11B3
B019	1101 1171 11B4
B01A	1101 1171 11B5
B01B	1101 1171 11B6
B01C	1101 1171 11B7
B01D	1101 1171 11B8
B01E	1101 1171 11B9
B01F	1101 1171 11BA
B020	1101 1171 11BB
B021	1101 1171 11BC
B022	1101 1171 11BD
B023	1101 1171 11BE
B024	1101 1171 11BF
B025	1101 1171 11C0
B026	1101 1171 11C1
B027	1101 1171 11C2
B028	1101 1172
B029	1101 1172 11A8
B02A	1101 1172 11A9
B02B	1101 1172 11AA
B02C	1101 1172 11AB
B02D	1101 1172 11AC
B02E	1101 1172 11AD
B02F	1101 1172 11AE
B030	1101 1172 11AF
B031	1101 1172 11B0
B032	1101 1172 11B1
B033	1101 1172 11B2
B034	1101 1172 11B3
B035	1101 1172 11B4
B036	1101 1172 11B5
B037	1101 1172 11B6
B038	1101 1172 11B7
B039	1101 1172 11B8
B03A	1101 1172 11B9
B03B	1101 1172 11BA
B03C	1101 1172 11BB
B03D	1101 1172 11BC
B03E	1101 1172 11BD
B03F	1101 1172 11BE
B040	1101 1172 11BF
B041	1101 1172 11C0
B042	1101 1172 11C1
B043	1101 1172 11C2
B044	1101 1173
B045	1101 1173 11A8
B046	1101 1173 11A9
B047	1101 1173 11AA
B048	1101 1173 11AB
B049	1101 1173 11AC
B04A	1101 1173 11AD
B04B	1101 1173 11AE
B04C	1101 1173 11AF
B04D	1101 1173 11B0
B04E	1101 1173 11B1
B04F	1101 1173 11B2
B050	1101 1173 11B3
B051	1101 1173 11B4
B052	1101 1173 11B5
B053	1101 1173 11B6
B054	1101 1173 11B7
B055	1101 1173 11B8
B056	1101 1173 11B9
B057	1101 1173 11BA
B058	1101 1173 11BB
B059	1101 1173 11BC
B05A	1101 1173 11BD
B05B	1101 1173 11BE
B05C	1101 1173 11BF
B05D	1101 1173 11C0
B05E	1101 1173 11C1
B05F	1101 1173 11C2
B060	1101 1174
B061	1101 1174 11A8
B062	1101 1174 11A9
B063	1101 1174 11AA
B064	1101 1174 11AB
B065	1101 1174 11AC
B066	1101 1174 11AD
B067	1101 1174 11AE
B068	1101 1174 11AF
B069	1101 1174 11B0
B06A	1101 1174 11B1
B06B	1101 1174 11B2
B06C	1101 1174 11B3
B06D	1101 1174 11B4
B06E	1101 1174 11B5
B06F	1101 1174 11B6
B070	1101 1174 11B7
B071	1101 1174 11B8
B072	1101 1174 11B9
B073	1101 1174 11BA
B074	1101 1174 11BB
B075	1101 1174 11BC
B076	1101 1174 11BD
B077	1101 1174 11BE
B078	1101 1174 11BF
B079	1101 1174 11C0
B07A	1101 1174 11C1
B07B	1101 1174 11C2
B07C	1101 1175
B07D	1101 1175 11A8
B07E	1101 1175 11A9
B07F	1101 1175 11AA
B080	1101 1175 11AB
B081	1101 1175 11AC
B082	1101 1175 11AD
B083	1101 1175 11AE
B084	1101 1175 11AF
B085	1101 1175 11B0
B086	1101 1175 11B1
B087	1101 1175 11B2
B088	1101 1175 11B3
B089	1101 1175 11B4
B08A	1101 1175 11B5
B08B	1101 1175 11B6
B08C	1101 1175 11B7
B08D	1101 1175 11B8
B08E	1101 1175 11B9
B08F	1101 1175 11BA
B090	1101 1175 11BB
B091	1101 1175 11BC
B092	1101 1175 11BD
B093	1101 1175 11BE
B094	1101 1175 11BF
B095	1101 1175 11C0
B096	1101 1175 11C1
B097	1101 1175 11C2
B098	1102 1161
B099	1102 1161 11A8
B09A	1102 1161 11A9
B09B	1102 1161 11AA
B09C	1102 1161 11AB
B09D	1102 1161 11AC
B09E	1102 1161 11AD
B09F	1102 1161 11AE
B0A0	1102 1161 11AF
B0A1	1102 1161 11B0
B0A2	1102 1161 11B1
B0A3	1102 1161 11B2
B0A4	1102 1161 11B3
B0A5	1102 1161 11B4
B0A6	1102 1161 11B5
B0A7	1102 1161 11B6
B0A8	1102 1161 11B7
B0A9	1102 1161 11B8
B0AA	1102 1161 11B9
B0AB	1102 1161 11BA
B0AC	1102 1161 11BB
B0AD	1102 1161 11BC
B0AE	1102 1161 11BD
B0AF	1102 1161 11BE
B0B0	1102 1161 11BF
B0B1	1102 1161 11C0
B0B2	1102 1161 11C1
B0B3	1102 1161 11C2
B0B4	1102 1162
B0B5	1102 1162 11A8
B0B6	1102 1162 11A9
B0B7	1102 1162 11AA
B0B8	1102 1162 11AB
B0B9	1102 1162 11AC
B0BA	1102 1162 11AD
B0BB	1102 1162 11AE
B0BC	1102 1162 11AF
B0BD	1102 1162 11B0
B0BE	1102 1162 11B1
B0BF	1102 1162 11B2
B0C0	1102 1162 11B3
B0C1	1102 1162 11B4
B0C2	1102 1162 11B5
B0C3	1102 1162 11B6
B0C4	1102 1162 11B7
B0C5	1102 1162 11B8
B0C6	1102 1162 11B9
B0C7	1102 1162 11BA
B0C8	1102 1162 11BB
B0C9	1102 1162 11BC
B0CA	1102 1162 11BD
B0CB	1102 1162 11BE
B0CC	1102 1162 11BF
B0CD	1102 1162 11C0
B0CE	1102 1162 11C1
B0CF	1102 1162 11C2
B0D0	1102 1163
B0D1	1102 1163 11A8
B0D2	1102 1163 11A9
B0D3	1102 1163 11AA
B0D4	1102 1163 11AB
B0D5	1102 1163 11AC
B0D6	1102 1163 11AD
B0D7	1102 1163 11AE
B0D8	1102 1163 11AF
B0D9	1102 1163 11B0
B0DA	1102 1163 11B1
B0DB	1102 1163 11B2
B0DC	1102 1163 11B3
B0DD	1102 1163 11B4
B0DE	1102 1163 11B5
B0DF	1102 1163 11B6
B0E0	1102 1163 11B7
B0E1	1102 1163 11B8
B0E2	1102 1163 11B9
B0E3	1102 1163 11BA
B0E4	1102 1163 11BB
B0E5	1102 1163 11BC
B0E6	1102 1163 11BD
B0E7	1102 1163 11BE
B0E8	1102 1163 11BF
B0E9	1102 1163 11C0
B0EA	1102 1163 11C1
B0EB	1102 1163 11C2
B0EC	1102 1164
B0ED	1102 1164 11A8
B0EE	1102 1164 11A9
B0EF	1102 1164 11AA
B0F0	1102 1164 11AB
B0F1	1102 1164 11AC
B0F2	1102 1164 11AD
B0F3	1102 1164 11AE
B0F4	1102 1164 11AF
B0F5	1102 1164 11B0
B0F6	1102 1164 11B1
B0F7	1102 1164 11B2
B0F8	1102 1164 11B3
B0F9	1102 1164 11B4
B0FA	1102 1164 11B5
B0FB	1102 1164 11B6
B0FC	1102 1164 11B7
B0FD	1102 1164 11B8
B0FE	1102 1164 11B9
B0FF	1102 1164 11BA
B100	1102 1164 11BB
B101	1102 1164 11BC
B102	1102 1164 11BD
B103	1102 1164 11BE
B104	1102 1164 11BF
B105	1102 1164 11C0
B106	1102 1164 11C1
B107	1102 1164 11C2
B108	1102 1165
B109	1102 1165 11A8
B10A	1102 1165 11A9
B10B	1102 1165 11AA
B10C	1102 1165 11AB
B10D	1102 1165 11AC
B10E	1102 1165 11AD
B10F	1102 1165 11AE
B110	1102 1165 11AF
B111	1102 1165 11B0
B112	1102 1165 11B1
B113	1102 1165 11B2
B114	1102 1165 11B3
B115	1102 1165 11B4
B116	1102 1165 11B5
B117	1102 1165 11B6
B118	1102 1165 11B7
B119	1102 1165 11B8
B11A	1102 1165 11B9
B11B	1102 1165 11BA
B11C	1102 1165 11BB
B11D	1102 1165 11BC
B11E	1102 1165 11BD
B11F	1102 1165 11BE
B120	1102 1165 11BF
B121	1102 1165 11C0
B122	1102 1165 11C1
B123	1102 1165 11C2
B124	1102 1166
B125	1102 1166 11A8
B126	1102 1166 11A9
B127	1102 1166 11AA
B128	1102 1166 11AB
B129	1102 1166 11AC
B12A	1102 1166 11AD
B12B	1102 1166 11AE
B12C	1102 1166 11AF
B12D	1102 1166 11B0
B12E	1102 1166 11B1
B12F	1102 1166 11B2
B130	1102 1166 11B3
B131	1102 1166 11B4
B132	1102 1166 11B5
B133	1102 1166 11B6
B134	1102 1166 11B7
B135	1102 1166 11B8
B136	1102 1166 11B9
B137	1102 1166 11BA
B138	1102 1166 11BB
B139	1102 1166 11BC
B13A	1102 1166 11BD
B13B	1102 1166 11BE
B13C	1102 1166 11BF
B13D	1102 1166 11C0
B13E	1102 1166 11C1
B13F	1102 1166 11C2
B140	1102 1167
B141	1102 1167 11A8
B142	1102 1167 11A9
B143	1102 1167 11AA
B144	1102 1167 11AB
B145	1102 1167 11AC
B146	1102 1167 11AD
B147	1102 1167 11AE
B148	1102 1167 11AF
B149	1102 1167 11B0
B14A	1102 1167 11B1
B14B	1102 1167 11B2
B14C	1102 1167 11B3
B14D	1102 1167 11B4
B14E	1102 1167 11B5
B14F	1102 1167 11B6
B150	1102 1167 11B7
B151	1102 1167 11B8
B152	1102 1167 11B9
B153	1102 1167 11BA
B154	1102 1167 11BB
B155	1102 1167 11BC
B156	1102 1167 11BD
B157	1102 1167 11BE
B158	1102 1167 11BF
B159	1102 1167 11C0
B15A	1102 1167 11C1
B15B	1102 1167 11C2
B15C	1102 1168
B15D	1102 1168 11A8
B15E	1102 1168 11A9
B15F	1102 1168 11AA
B160	1102 1168 11AB
B161	1102 1168 11AC
B162	1102 1168 11AD
B163	1102 1168 11AE
B164	1102 1168 11AF
B165	1102 1168 11B0
B166	1102 1168 11B1
B167	1102 1168 11B2
B168	1102 1168 11B3
B169	1102 1168 11B4
B16A	1102 1168 11B5
B16B	1102 1168 11B6
B16C	1102 1168 11B7
B16D	1102 1168 11B8
B16E	1102 1168 11B9
B16F	1102 1168 11BA
B170	1102 1168 11BB
B171	1102 1168 11BC
B172	1102 1168 11BD
B173	1102 1168 11BE
B174	1102 1168 11BF
B175	1102 1168 11C0
B176	1102 1168 11C1
B177	1102 1168 11C2
B178	1102 1169
B179	1102 1169 11A8
B17A	1102 1169 11A9
B17B	1102 1169 11AA
B17C	1102 1169 11AB
B17D	1102 1169 11AC
B17E	1102 1169 11AD
B17F	1102 1169 11AE
B180	1102 1169 11AF
B181	1102 1169 11B0
B182	1102 1169 11B1
B183	1102 1169 11B2
B184	1102 1169 11B3
B185	1102 1169 11B4
B186	1102 1169 11B5
B187	1102 1169 11B6
B188	1102 1169 11B7
B189	1102 1169 11B8
B18A	1102 1169 11B9
B18B	1102 1169 11BA
B18C	1102 1169 11BB
B18D	1102 1169 11BC
B18E	1102 1169 11BD
B18F	1102 1169 11BE
B190	1102 1169 11BF
B191	1102 1169 11C0
B192	1102 1169 11C1
B193	1102 1169 11C2
B194	1102 116A
B195	1102 116A 11A8
B196	1102 116A 11A9
B197	1102 116A 11AA
B198	1102 116A 11AB
B199	1102 116A 11AC
B19A	1102 116A 11AD
B19B	1102 116A 11AE
B19C	1102 116A 11AF
B19D	1102 116A 11B0
B19E	1102 116A 11B1
B19F	1102 116A 11B2
B1A0	1102 116A 11B3
B1A1	1102 116A 11B4
B1A2	1102 116A 11B5
B1A3	1102 116A 11B6
B1A4	1102 116A 11B7
B1A5	1102 116A 11B8
B1A6	1102 116A 11B9
B1A7	1102 116A 11BA
B1A8	1102 116A 11BB
B1A9	1102 116A 11BC
B1AA	1102 116A 11BD
B1AB	1102 116A 11BE
B1AC	1102 116A 11BF
B1AD	1102 116A 11C0
B1AE	1102 116A 11C1
B1AF	1102 116A 11C2
B1B0	1102 116B
B1B1	1102 116B 11A8
B1B2	1102 116B 11A9
B1B3	1102 116B 11AA
B1B4	1102 116B 11AB
B1B5	1102 116B 11AC
B1B6	1102 116B 11AD
B1B7	1102 116B 11AE
B1B8	1102 116B 11AF
B1B9	1102 116B 11B0
B1BA	1102 116B 11B1
B1BB	1102 116B 11B2
B1BC	1102 116B 11B3
B1BD	1102 116B 11B4
B1BE	1102 116B 11B5
B1BF	1102 116B 11B6
B1C0	1102 116B 11B7
B1C1	1102 116B 11B8
B1C2	1102 116B 11B9
B1C3	1102 116B 11BA
B1C4	1102 116B 11BB
B1C5	1102 116B 11BC
B1C6	1102 116B 11BD
B1C7	1102 116B 11BE
B1C8	1102 116B 11BF
B1C9	1102 116B 11C0
B1CA	1102 116B 11C1
B1CB	1102 116B 11C2
B1CC	1102 116C
B1CD	1102 116C 11A8
B1CE	1102 116C 11A9
B1CF	1102 116C 11AA
B1D0	1102 116C 11AB
B1D1	1102 116C 11AC
B1D2	1102 116C 11AD
B1D3	1102 116C 11AE
B1D4	1102 116C 11AF
B1D5	1102 116C 11B0
B1D6	1102 116C 11B1
B1D7	1102 116C 11B2
B1D8	1102 116C 11B3
B1D9	1102 116C 11B4
B1DA	1102 116C 11B5
B1DB	1102 116C 11B6
B1DC	1102 116C 11B7
B1DD	1102 116C 11B8
B1DE	1102 116C 11B9
B1DF	1102 116C 11BA
B1E0	1102 116C 11BB
B1E1	1102 116C 11BC
B1E2	1102 116C 11BD
B1E3	1102 116C 11BE
B1E4	1102 116C 11BF
B1E5	1102 116C 11C0
B1E6	1102 116C 11C1
B1E7	1102 116C 11C2
B1E8	1102 116D
B1E9	1102 116D 11A8
B1EA	1102 116D 11A9
B1EB	1102 116D 11AA
B1EC	1102 116D 11AB
B1ED	1102 116D 11AC
B1EE	1102 116D 11AD
B1EF	1102 116D 11AE
B1F0	1102 116D 11AF
B1F1	1102 116D 11B0
B1F2	1102 116D 11B1
B1F3	1102 116D 11B2
B1F4	1102 116D 11B3
B1F5	1102 116D 11B4
B1F6	1102 116D 11B5
B1F7	1102 116D 11B6
B1F8	1102 116D 11B7
B1F9	1102 116D 11B8
B1FA	1102 116D 11B9
B1FB	1102 116D 11BA
B1FC	1102 116D 11BB
B1FD	1102 116D 11BC
B1FE	1102 116D 11BD
B1FF	1102 116D 11BE
B200	1102 116D 11BF
B201	1102 116D 11C0
B202	1102 116D 11C1
B203	1102 116D 11C2
B204	1102 116E
B205	1102 116E 11A8
B206	1102 116E 11A9
B207	1102 116E 11AA
B208	1102 116E 11AB
B209	1102 116E 11AC
B20A	1102 116E 11AD
B20B	1102 116E 11AE
B20C	1102 116E 11AF
B20D	1102 116E 11B0
B20E	1102 116E 11B1
B20F	1102 116E 11B2
B210	1102 116E 11B3
B211	1102 116E 11B4
B212	1102 116E 11B5
B213	1102 116E 11B6
B214	1102 116E 11B7
B215	1102 116E 11B8
B216	1102 116E 11B9
B217	1102 116E 11BA
B218	1102 116E 11BB
B219	1102 116E 11BC
B21A	1102 116E 11BD
B21B	1102 116E 11BE
B21C	1102 116E 11BF
B21D	1102 116E 11C0
B21E	1102 116E 11C1
B21F	1102 116E 11C2
B220	1102 116F
B221	1102 116F 11A8
B222	1102 116F 11A9
B223	1102 116F 11AA
B224	1102 116F 11AB
B225	1102 116F 11AC
B226	1102 116F 11AD
B227	1102 116F 11AE
B228	1102 116F 11AF
B229	1102 116F 11B0
B22A	1102 116F 11B1
B22B	1102 116F 11B2
B22C	1102 116F 11B3
B22D	1102 116F 11B4
B22E	1102 116F 11B5
B22F	1102 116F 11B6
B230	1102 116F 11B7
B231	1102 116F 11B8
B232	1102 116F 11B9
B233	1102 116F 11BA
B234	1102 116F 11BB
B235	1102 116F 11BC
B236	1102 116F 11BD
B237	1102 116F 11BE
B238	1102 116F 11BF
B239	1102 116F 11C0
B23A	1102 116F 11C1
B23B	1102 116F 11C2
B23C	1102 1170
B23D	1102 1170 11A8
B23E	1102 1170 11A9
B23F	1102 1170 11AA
B240	1102 1170 11AB
B241	1102 1170 11AC
B242	1102 1170 11AD
B243	1102 1170 11AE
B244	1102 1170 11AF
B245	1102 1170 11B0
B246	1102 1170 11B1
B247	1102 1170 11B2
B248	1102 1170 11B3
B249	1102 1170 11B4
B24A	1102 1170 11B5
B24B	1102 1170 11B6
B24C	1102 1170 11B7
B24D	1102 1170 11B8
B24E	1102 1170 11B9
B24F	1102 1170 11BA
B250	1102 1170 11BB
B251	1102 1170 11BC
B252	1102 1170 11BD
B253	1102 1170 11BE
B254	1102 1170 11BF
B255	1102 1170 11C0
B256	1102 1170 11C1
B257	1102 1170 11C2
B258	1102 1171
B259	1102 1171 11A8
B25A	1102 1171 11A9
B25B	1102 1171 11AA
B25C	1102 1171 11AB
B25D	1102 1171 11AC
B25E	1102 1171 11AD
B25F	1102 1171 11AE
B260	1102 1171 11AF
B261	1102 1171 11B0
B262	1102 1171 11B1
B263	1102 1171 11B2
B264	1102 1171 11B3
B265	1102 1171 11B4
B266	1102 1171 11B5
B267	1102 1171 11B6
B268	1102 1171 11B7
B269	1102 1171 11B8
B26A	1102 1171 11B9
B26B	1102 1171 11BA
B26C	1102 1171 11BB
B26D	1102 1171 11BC
B26E	1102 1171 11BD
B26F	1102 1171 11BE
B270	1102 1171 11BF
B271	1102 1171 11C0
B272	1102 1171 11C1
B273	1102 1171 11C2
B274	1102 1172
B275	1102 1172 11A8
B276	1102 1172 11A9
B277	1102 1172 11AA
B278	1102 1172 11AB
B279	1102 1172 11AC
B27A	1102 1172 11AD
B27B	1102 1172 11AE
B27C	1102 1172 11AF
B27D	1102 1172 11B0
B27E	1102 1172 11B1
B27F	1102 1172 11B2
B280	1102 1172 11B3
B281	1102 1172 11B4
B282	1102 1172 11B5
B283	1102 1172 11B6
B284	1102 1172 11B7
B285	1102 1172 11B8
B286	1102 1172 11B9
B287	1102 1172 11BA
B288	1102 1172 11BB
B289	1102 1172 11BC
B28A	1102 1172 11BD
B28B	1102 1172 11BE
B28C	1102 1172 11BF
B28D	1102 1172 11C0
B28E	1102 1172 11C1
B28F	1102 1172 11C2
B290	1102 1173
B291	1102 1173 11A8
B292	1102 1173 11A9
B293	1102 1173 11AA
B294	1102 1173 11AB
B295	1102 1173 11AC
B296	1102 1173 11AD
B297	1102 1173 11AE
B298	1102 1173 11AF
B299	1102 1173 11B0
B29A	1102 1173 11B1
B29B	1102 1173 11B2
B29C	1102 1173 11B3
B29D	1102 1173 11B4
B29E	1102 1173 11B5
B29F	1102 1173 11B6
B2A0	1102 1173 11B7
B2A1	1102 1173 11B8
B2A2	1102 1173 11B9
B2A3	1102 1173 11BA
B2A4	1102 1173 11BB
B2A5	1102 1173 11BC
B2A6	1102 1173 11BD
B2A7	1102 1173 11BE
B2A8	1102 1173 11BF
B2A9	1102 1173 11C0
B2AA	1102 1173 11C1
B2AB	1102 1173 11C2
B2AC	1102 1174
B2AD	1102 1174 11A8
B2AE	1102 1174 11A9
B2AF	1102 1174 11AA
B2B0	1102 1174 11AB
B2B1	1102 1174 11AC
B2B2	1102 1174 11AD
B2B3	1102 1174 11AE
B2B4	1102 1174 11AF
B2B5	1102 1174 11B0
B2B6	1102 1174 11B1
B2B7	1102 1174 11B2
B2B8	1102 1174 11B3
B2B9	1102 1174 11B4
B2BA	1102 1174 11B5
B2BB	1102 1174 11B6
B2BC	1102 1174 11B7
B2BD	1102 1174 11B8
B2BE	1102 1174 11B9
B2BF	1102 1174 11BA
B2C0	1102 1174 11BB
B2C1	1102 1174 11BC
B2C2	1102 1174 11BD
B2C3	1102 1174 11BE
B2C4	1102 1174 11BF
B2C5	1102 1174 11C0
B2C6	1102 1174 11C1
B2C7	1102 1174 11C2
B2C8	1102 1175
B2C9	1102 1175 11A8
B2CA	1102 1175 11A9
B2CB	1102 1175 11AA
B2CC	1102 1175 11AB
B2CD	1102 1175 11AC
B2CE	1102 1175 11AD
B2CF	1102 1175 11AE
B2D0	1102 1175 11AF
B2D1	1102 1175 11B0
B2D2	1102 1175 11B1
B2D3	1102 1175 11B2
B2D4	1102 1175 11B3
B2D5	1102 1175 11B4
B2D6	1102 1175 11B5
B2D7	1102 1175 11B6
B2D8	1102 1175 11B7
B2D9	1102 1175 11B8
B2DA	1102 1175 11B9
B2DB	1102 1175 11BA
B2DC	1102 1175 11BB
B2DD	1102 1175 11BC
B2DE	1102 1175 11BD
B2DF	1102 1175 11BE
B2E0	1102 1175 11BF
B2E1	1102 1175 11C0
B2E2	1102 1175 11C1
B2E3	1102 1175 11C2
B2E4	1103 1161
B2E5	1103 1161 11A8
B2E6	1103 1161 11A9
B2E7	1103 1161 11AA
B2E8	1103 1161 11AB
B2E9	1103 1161 11AC
B2EA	1103 1161 11AD
B2EB	1103 1161 11AE
B2EC	1103 1161 11AF
B2ED	1103 1161 11B0
B2EE	1103 1161 11B1
B2EF	1103 1161 11B2
B2F0	1103 1161 11B3
B2F1	1103 1161 11B4
B2F2	1103 1161 11B5
B2F3	1103 1161 11B6
B2F4	1103 1161 11B7
B2F5	1103 1161 11B8
B2F6	1103 1161 11B9
B2F7	1103 1161 11BA
B2F8	1103 1161 11BB
B2F9	1103 1161 11BC
B2FA	1103 1161 11BD
B2FB	1103 1161 11BE
B2FC	1103 1161 11BF
B2FD	1103 1161 11C0
B2FE	1103 1161 11C1
B2FF	1103 1161 11C2
B300	1103 1162
B301	1103 1162 11A8
B302	1103 1162 11A9
B303	1103 1162 11AA
B304	1103 1162 11AB
B305	1103 1162 11AC
B306	1103 1162 11AD
B307	1103 1162 11AE
B308	1103 1162 11AF
B309	1103 1162 11B0
B30A	1103 1162 11B1
B30B	1103 1162 11B2
B30C	1103 1162 11B3
B30D	1103 1162 11B4
B30E	1103 1162 11B5
B30F	1103 1162 11B6
B310	1103 1162 11B7
B311	1103 1162 11B8
B312	1103 1162 11B9
B313	1103 1162 11BA
B314	1103 1162 11BB
B315	1103 1162 11BC
B316	1103 1162 11BD
B317	1103 1162 11BE
B318	1103 1162 11BF
B319	1103 1162 11C0
B31A	1103 1162 11C1
B31B	1103 1162 11C2
B31C	1103 1163
B31D	1103 1163 11A8
B31E	1103 1163 11A9
B31F	1103 1163 11AA
B320	1103 1163 11AB
B321	1103 1163 11AC
B322	1103 1163 11AD
B323	1103 1163 11AE
B324	1103 1163 11AF
B325	1103 1163 11B0
B326	1103 1163 11B1
B327	1103 1163 11B2
B328	1103 1163 11B3
B329	1103 1163 11B4
B32A	1103 1163 11B5
B32B	1103 1163 11B6
B32C	1103 1163 11B7
B32D	1103 1163 11B8
B32E	1103 1163 11B9
B32F	1103 1163 11BA
B330	1103 1163 11BB
B331	1103 1163 11BC
B332	1103 1163 11BD
B333	1103 1163 11BE
B334	1103 1163 11BF
B335	1103 1163 11C0
B336	1103 1163 11C1
B337	1103 1163 11C2
B338	1103 1164
B339	1103 1164 11A8
B33A	1103 1164 11A9
B33B	1103 1164 11AA
B33C	1103 1164 11AB
B33D	1103 1164 11AC
B33E	1103 1164 11AD
B33F	1103 1164 11AE
B340	1103 1164 11AF
B341	1103 1164 11B0
B342	1103 1164 11B1
B343	1103 1164 11B2
B344	1103 1164 11B3
B345	1103 1164 11B4
B346	1103 1164 11B5
B347	1103 1164 11B6
B348	1103 1164 11B7
B349	1103 1164 11B8
B34A	1103 1164 11B9
B34B	1103 1164 11BA
B34C	1103 1164 11BB
B34D	1103 1164 11BC
B34E	1103 1164 11BD
B34F	1103 1164 11BE
B350	1103 1164 11BF
B351	1103 1164 11C0
B352	1103 1164 11C1
B353	1103 1164 11C2
B354	1103 1165
B355	1103 1165 11A8
B356	1103 1165 11A9
B357	1103 1165 11AA
B358	1103 1165 11AB
B359	1103 1165 11AC
B35A	1103 1165 11AD
B35B	1103 1165 11AE
B35C	1103 1165 11AF
B35D	1103 1165 11B0
B35E	1103 1165 11B1
B35F	1103 1165 11B2
B360	1103 1165 11B3
B361	1103 1165 11B4
B362	1103 1165 11B5
B363	1103 1165 11B6
B364	1103 1165 11B7
B365	1103 1165 11B8
B366	1103 1165 11B9
B367	1103 1165 11BA
B368	1103 1165 11BB
B369	1103 1165 11BC
B36A	1103 1165 11BD
B36B	1103 1165 11BE
B36C	1103 1165 11BF
B36D	1103 1165 11C0
B36E	1103 1165 11C1
B36F	1103 1165 11C2
B370	1103 1166
B371	1103 1166 11A8
B372	1103 1166 11A9
B373	1103 1166 11AA
B374	1103 1166 11AB
B375	1103 1166 11AC
B376	1103 1166 11AD
B377	1103 1166 11AE
B378	1103 1166 11AF
B379	1103 1166 11B0
B37A	1103 1166 11B1
B37B	1103 1166 11B2
B37C	1103 1166 11B3
B37D	1103 1166 11B4
B37E	1103 1166 11B5
B37F	1103 1166 11B6
B380	1103 1166 11B7
B381	1103 1166 11B8
B382	1103 1166 11B9
B383	1103 1166 11BA
B384	1103 1166 11BB
B385	1103 1166 11BC
B386	1103 1166 11BD
B387	1103 1166 11BE
B388	1103 1166 11BF
B389	1103 1166 11C0
B38A	1103 1166 11C1
B38B	1103 1166 11C2
B38C	1103 1167
B38D	1103 1167 11A8
B38E	1103 1167 11A9
B38F	1103 1167 11AA
B390	1103 1167 11AB
B391	1103 1167 11AC
B392	1103 1167 11AD
B393	1103 1167 11AE
B394	1103 1167 11AF
B395	1103 1167 11B0
B396	1103 1167 11B1
B397	1103 1167 11B2
B398	1103 1167 11B3
B399	1103 1167 11B4
B39A	1103 1167 11B5
B39B	1103 1167 11B6
B39C	1103 1167 11B7
B39D	1103 1167 11B8
B39E	1103 1167 11B9
B39F	1103 1167 11BA
B3A0	1103 1167 11BB
B3A1	1103 1167 11BC
B3A2	1103 1167 11BD
B3A3	1103 1167 11BE
B3A4	1103 1167 11BF
B3A5	1103 1167 11C0
B3A6	1103 1167 11C1
B3A7	1103 1167 11C2
B3A8	1103 1168
B3A9	1103 1168 11A8
B3AA	1103 1168 11A9
B3AB	1103 1168 11AA
B3AC	1103 1168 11AB
B3AD	1103 1168 11AC
B3AE	1103 1168 11AD
B3AF	1103 1168 11AE
B3B0	1103 1168 11AF
B3B1	1103 1168 11B0
B3B2	1103 1168 11B1
B3B3	1103 1168 11B2
B3B4	1103 1168 11B3
B3B5	1103 1168 11B4
B3B6	1103 1168 11B5
B3B7	1103 1168 11B6
B3B8	1103 1168 11B7
B3B9	1103 1168 11B8
B3BA	1103 1168 11B9
B3BB	1103 1168 11BA
